address,auxo,prv,prv_staker,arv_locked,total,share,reward_share
0x44203fe5083a8ed45eaedae6b224adce4f8e8b57,559701956834982176,0,0,0,559701956834982176,0.00000179615745316812949093498336114798450856028,156660853065324
0xbd9a4eaafd01ba320d29609db2f32a67e45413c2,556006141948173075,0,0,0,556006141948173075,0.00000178429709539484219107210606223272355760720,155626392660338
0xbdee674cf5d0f211a2bba2ab9328faee3f65020c,549069487436554112,0,0,0,549069487436554112,0.00000176203645551508894941207003618466742803736,153684819650026
0x502c4b31e10c7fd8056caa431e396efb691433df,548182779776537963,0,0,0,548182779776537963,0.00000175919089359973397724869003191315634219423,153436629739768
0xf8511df3550070fb5778b37785a22cf12b3db7dc,544566787978099138,0,0,0,544566787978099138,0.00000174758669865267999875412499977632383626402,152424511856486
0x358d169cba881c03e5754baf97873d5e32100fcb,520502185552508543,0,0,0,520502185552508543,0.00000167036021324127354717889871382424452398434,145688817798903
0x2930082c77d566fbc8096b1b9ebeea48cfbdd616,512098873195233540,0,0,0,512098873195233540,0.00000164339287475424833287534391425754203763775,143336726536065
0xe16d6bc89dea7846b50726ccb924d6d0b0331413,486549586609555509,0,0,0,486549586609555509,0.00000156140184191331065358589815043113691642010,136185468651678
0x3f4d24e85a7b92e37e49bc2adff40fb320d3fccd,478118867346066584,0,0,0,478118867346066584,0.00000153434655104687482086973616001447798946220,133825706182308
0xc888d837a353d56c7c0284faa19b41b90717f210,471456057457491100,0,0,0,471456057457491100,0.00000151296471470654636623749669052763399102117,131960782416704
0x18a75c982c7b2e77627dcbaa4b797875b7a6811c,459474781144160366,0,0,0,459474781144160366,0.00000147451521763787590712109494058074941803567,128607217282375
0x49a6c52a523f7cc05b61550f3f19e97d0a262c39,415727010906556840,0,0,0,415727010906556840,0.00000133412284878481204756788249979491386879109,116362194871011
0x703280db7651148c787c30e9a28feac0a4a61288,398541837447849066,0,0,0,398541837447849066,0.00000127897335892704165693224481397150715079898,111552056365616
0x47bf020becb4e0403e38c95ec96c4e835f44b347,387037022591543660,0,0,0,387037022591543660,0.00000124205288956094131075811964801276547910051,108331853027505
0xc9bd7c3ea89a185daca330d8b54d5cbb2692b22e,376638354964615521,0,0,0,376638354964615521,0.00000120868219265156480335359698893866234140994,105421260843069
0x0a1266b6a775c15466a40cec280905153eac9461,373303462160007306,0,0,0,373303462160007306,0.00000119798008147727807302325298745704998407160,104487822706448
0x036e02b89a4edbaa2a484e20743bc70e262d81fc,356045346610368037,0,0,0,356045346610368037,0.00000114259651082226133708477038480862682201646,99657267673917
0x9d34151abe8d1594e74f463d350840119ab0689b,308685956917424225,0,0,0,308685956917424225,9.90613978448241522298831944653949488040984E-7,86401351200255
0x8c7bcc1cab9d95dfafeb4296b80ff90472f8c16b,305394380774312582,0,0,0,305394380774312582,9.80050876157956903262789232281568308006898E-7,85480037418497
0xf6c3ebe4a0340c8611f56b4ddc310be725a13456,299779725806409826,0,0,0,299779725806409826,9.62032707301457230406841583735378332288781E-7,83908492730833
0xba28d8cb6b51e344ade9b7d28e051760464dd2d1,296686899988133753,0,0,0,296686899988133753,9.52107421036136495601943067307115752549362E-7,83042809262771
0xdef0cf8de52b867e1092fb7b94dc9ba68b4c1a4a,237455752814400050,0,0,0,237455752814400050,7.62026851982191127688003134132310473469207E-7,66463982029886
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,234194405378130894,0,0,0,234194405378130894,7.51560757601976716774225812765399257063311E-7,65551129278044
0xc0bf08682e29796f27652a26abd98650e374c97d,211392576408651711,0,0,0,211392576408651711,6.78386678881594412993093629745926260127835E-7,59168886132052
0x8dd64ea50957ddc5e9f8d592174b4a689b398f6b,208674810698132606,0,0,0,208674810698132606,6.69665010005326934925941043480537181396863E-7,58408182172664
0xd6965ed57661b2cb59929ed5a42750ac5ca1dd7d,187739129541370428,0,0,0,187739129541370428,6.02479645924213430147201646237546261592757E-7,52548274717509
0x6ee6c1fe7d2d868d07fa4686af94571852f6cfba,177858132642864644,0,0,0,177858132642864644,5.70770222708430471051620593474027513318957E-7,49782578824629
0xeadba01a8bdc4d88c00c84ebaaeb6898197f7803,162749582689478396,0,0,0,162749582689478396,5.22284891767665780187586679350767845679537E-7,45553688259975
0x5ca887615098c6b7409f18502f57538205c768d9,126407959472771596,0,0,0,126407959472771596,4.05659826223789066376374833568961729783646E-7,35381650043238
0x2c339b8ad2147c2f63cff0f5b6e144810c2b1119,118537109561233306,0,0,0,118537109561233306,3.80401230003541562662915726755832562468997E-7,33178595280908
0x16bc53008af796f1f62465a98e6ea81672fee4bf,59651032480355935,0,0,0,59651032480355935,1.91428036422525005555304458613458431640265E-7,16696353336772
0xa3ca65e18ace9ecce4ec4ada164a86599a8db711,56549881885496180,0,0,0,56549881885496180,1.81476034850380449077167327212021705383195E-7,15828339759650
0x5f92847e998063bd252c25d2d8c2c2e60e98e955,41973244649296675,0,0,0,41973244649296675,1.34697682024919295843628138614243886159976E-7,11748331826213
0x9f6e73b0a98679458680d381e7f4948cfd72fb34,16114759189540359,0,0,0,16114759189540359,5.17143891866654982846443092694447415552358E-8,4510529024860
0xbffadf2903e6ec32dc0a7b5a2b57de0e728ec0b5,8052827898547913,0,0,0,8052827898547913,2.58425875993883066588883189209206555315136E-8,2253990490418
0xc835bc8ad9857f801b4633e5a1aa53bf5b568ead,2699287052574801,0,0,0,2699287052574801,8.66236842397159351399006768095375506637415E-9,755531773938
0x00000000a991c429ee2ec6df19d40fe0c80088b8,239619611488408,0,0,0,239619611488408,7.68970960069466918358948756375181460248750E-10,67069647137
0x3bdd7cea539fec6e77405a6142df3d41629a9ae9,200000000000000,0,0,0,200000000000000,6.41826397508091424610725349870304001830195E-10,55980098390
0x00000000003b3cc22af3ae1eac0440bcee416b40,118762161865731,0,0,0,118762161865731,3.81123452552774807567079117238731204264350E-10,33241587531
0xd6ccb9d49a2ecd78efc35d6c733214029a1c74cb,3687081472432,0,0,205783131051410559936,205783134738492032368,0.000660385240185642622190510396975423339528689,57598800648991749
0x4351017766a157d3954848a86fcef5a90b359063,352051048043,0,0,0,352051048043,1.12977827952193354803433391360134188983669E-12,98539261
0x74f8d6c1794911304009a7b24cd1cfeaa44c8c94,322013303014,0,0,0,322013303014,1.03338319111578529214994219541058684070822E-12,90131681
0x95936a7eab22cc9ca9165f31d6577505d73bb397,15109,0,0,0,15109,4.84867751997487666722172465559521158182621E-20,4
0x73e6e89c42fd2ec85f9ba84dfa33169493e3ad6b,12184,0,0,0,12184,3.91000641361929295872853883140989197914955E-20,3
0x048d5708bc22fbfc9e3ce75e6453ee5ec53ee071,11661,0,0,0,11661,3.74216881067092705119283415241880748267095E-20,3
0x7b424633e09d2e6c95a2f2b8a6760326ecd79299,5398,0,0,0,5398,1.73228944687433875502434771929995050093970E-20,1
0x32d8bd3caaee7efbb387647762390ff417750fc3,5331,0,0,0,5331,1.71078826255781769229988842007929531687838E-20,1
0x0251518b2aabebce4082c2ad3d73d6c4c44f3c45,1456,0,0,0,1456,4.67249617385890557116608054705581313332382E-21,0
