address,auxo,prv,prv_staker,arv_locked,total,share,reward_share
0xbc600a46753caab9d362fb372be3ae34281ed999,945784918843936542,0,0,0,945784918843936542,0.00000303514961041500209422950338555075778637217,15175748052075010
0xdd37e2feb498638354b372dcfa4225aec175a155,941870750541151335,0,0,0,941870750541151335,0.00000302258852367889862119990635381680520077031,15112942618394493
0x70cad98fc1c4af04dd92e5e7e17c5531e00afd14,885885921736154261,0,0,0,885885921736154261,0.00000284292576108765429157318518410809542938125,14214628805438271
0xb45a2dda996c32e93b8c47098e90ed0e7ab18e39,860834877397987704,0,0,0,860834877397987704,0.00000276253362758185301773464447396698847211363,13812668137909265
0x509076dfd28bc819860cb696a38bbe89324d1c11,860572380678779158,0,0,0,860572380678779158,0.00000276169124069328337624771881976048538520587,13808456203466416
0x109c7953ee8540503abbdc38ed75893f740f1716,849154635266836441,0,0,0,849154635266836441,0.00000272505017690762372541814736905523008981965,13625250884538118
0xb00c22f7df5ef12c3108a2c95f8133d208045852,821703315970471536,0,0,0,821703315970471536,0.00000263695524178264509268771673033251151679324,13184776208913225
0x4374b88d8f2ea2c67b768ed404becdac6868a0ef,790805903002837669,0,0,0,790805903002837669,0.00000253780133367616611117099508130506807744770,12689006668380830
0x5d3e6e1b96efd3cbb75f2a911b88c60ccda616b6,763628742589954720,0,0,0,763628742589954720,0.00000245058621087618118798824579262025654361909,12252931054380905
0xe1e1f32f5d86e4bcf91c375e09d02225a76c8d21,750506282588750299,0,0,0,750506282588750299,0.00000240847449121688923547750352715335855662126,12042372456084446
0x93f59368682aa778ccf34a2d89a175ab98a48cec,725416445924701879,0,0,0,725416445924701879,0.00000232795786797727898282889980176946831153846,11639789339886394
0xfc8bcf483029f585b8c2425644ce83c09413c8ba,709073640395459702,0,0,0,709073640395459702,0.00000227551163115654524398330015622469665688496,11377558155782726
0xa1ad9751882466b98725433c57790233fbb6ff53,701740589724383922,0,0,0,701740589724383922,0.00000225197889612977567108264715268048443832698,11259894480648878
0xb1a42d5f83e9b700592ba55d5116b2a46cb64b58,700302315150536150,0,0,0,700302315150536150,0.00000224736328170676307799112756591416842535757,11236816408533815
0xa0dd51fd636afc3ff8180ee60bc9c4ab9c983744,689915344226023603,0,0,0,689915344226023603,0.00000221403011036220254885493718054562148132247,11070150551811012
0x382680f87cb83bda5d1b7973b8c274c9b216538d,681367745353189222,0,0,0,681367745353189222,0.00000218659972859995342723230941216213237411391,10932998642999767
0xc4c07d6e666699ccbc2f93fc9a525d271651821a,649673440313109029,0,0,0,649673440313109029,0.00000208488848783248772917638811123547639743101,10424442439162438
0x769bdbf85fe63e60460cb1e3399889856d72e7b2,644423233311231312,0,0,0,644423233311231312,0.00000206803987519461089105783952619126981507068,10340199375973054
0x03da6b5a21e3f3bf9c508ae7e97510887e1aeabb,644066316296957129,0,0,0,644066316296957129,0.00000206689448101963406797146030937591861954496,10334472405098170
0xba0b6ef6736eba5ffae42484839c7a5ccc184ee7,608972387480085697,0,0,0,608972387480085697,0.00000195427339534335127847707713344910157191953,9771366976716756
0xe26cd9c267b002c9dfbd3e933145f09fe2c36968,602814646813033332,0,0,0,602814646813033332,0.00000193451238645616625017321665709484417225384,9672561932280831
0x640c02695ce18b9298a067803718ab10416c5ae4,581339507146831365,0,0,0,581339507146831365,0.00000186559580670021856836536816899635277888719,9327979033501092
0x44203fe5083a8ed45eaedae6b224adce4f8e8b57,559701956834982176,0,0,0,559701956834982176,0.00000179615802957894817445780926603500012008876,8980790147894740
0xbd9a4eaafd01ba320d29609db2f32a67e45413c2,556006141948173075,0,0,0,556006141948173075,0.00000178429766799951430213178230205495875007599,8921488339997571
0xbdee674cf5d0f211a2bba2ab9328faee3f65020c,549069487436554112,0,0,0,549069487436554112,0.00000176203702097602561852852230562768048065177,8810185104880128
0x502c4b31e10c7fd8056caa431e396efb691433df,548182779776537963,0,0,0,548182779776537963,0.00000175919145814749197689418667133155919399058,8795957290737459
0xf8511df3550070fb5778b37785a22cf12b3db7dc,544566787978099138,0,0,0,544566787978099138,0.00000174758725947649748427784640646587828675363,8737936297382487
