voter,choice,created,proposal_id,proposal_title,proposal_author,proposal_created,proposal_start,proposal_end,proposal_choices_0,proposal_choices_1
0xCaB5541bad35e9ee799BeA9765C3c416D8Cc1Bb8,1,1685796149,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x8bFD3c3fc34F068C66796880756cC93ffDC6d080,1,1685795007,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x3070f20f86fDa706Ac380F5060D256028a46eC29,1,1685791781,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,1,1685771043,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,1,1685769813,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x91B26b4B49525fDFfff2B099190149a52A36c3cA,1,1685768910,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xedf4FA418216A13E7629fED73e7448985CC8Bc82,1,1685755624,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,1,1685752249,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xEed8e6512ff83092ffe544bD308e94934A113Ea0,1,1685751240,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x1754352eacb753327Fec2d4F48f0fb36B672C5e0,1,1685749400,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,1,1685745579,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,1,1685742574,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
