address,token_address,token_symbol,token_decimals,token_amount,rewards_address,rewards_symbol,rewards_decimals,rewards_amount,state
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,91856805927117914445,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xAC9283ebcd0c41FAA7A5399Ad94acc444954b446,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1000000000000000398187,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xaD1A787a26Dd30B7A810417bbe96E32f12564D83,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,500000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xae8a85B6474543ae965930F0264421AB64Fd03f7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,100006378097412480974,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xaEFEFcB0cb43faD6A308A17c179DECd76d41873c,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1000000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xB6C9e6A2415aB8d26335498BEAc8eeBED4BB2259,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,89391936436289366054,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xbe8B1778AedfD6600BB8C72A90e9EbCd9aA06822,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,277524429306675794117,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xc15c75955f49EC15A94E041624C227211810822D,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,803104048863906784113,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC3598d91844B061195136600AD243b077Cc164e2,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,6524767083848906004337,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC43D49a247923F1C7837c806a1eEaa1891387f75,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,850066299999999900000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xc4d6fdEA25346267441622FeB0e2618544Cef228,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,565288216268087706601,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC9B7F801541f88aE2F62C4C0eED29949D057c951,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,308690933210382946974,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC9C03900134fa324422519852094792298c71825,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,46560733444345028577,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xcf4B7136D45DEDB13448ad189c2B7a041c84Cce2,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3645471748378187899323,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xcfF7303b8E08403438c751bF21c04771252fA413,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,294444552594710336277,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
